Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,4.987339984910477
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,5.237510566080687
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,5.504389394049667
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,up,6.4718723001681155
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,8.256547860069304
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,up,9.223997178646528
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,24.88644612091889
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,35.14464225847604
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,up,35.22795086764705
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,37.49645838037145
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,37.57985437934889
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,up,40.615605518059795
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,47.00401060122317
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,up,51.60774665539617
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,down,57.262139563697815
AFB1972WRNO,2019-12-17-16-57-37,1,1.2342345016631795,Ambiguity,-8.13,gear24,gear24-medium,None,end,60.0142666191465
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,2.1684430744045358
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,3.335984883118499
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,4.753807987490518
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,6.1048802075461595
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,8.239949705766946
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,8.24000008707884
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,9.991303314779373
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,11.776054446648402
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,17.847522203541757
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,right,18.38129665325033
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,19.799147747240113
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,20.166060535945235
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,21.650541225907943
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,22.401182965643102
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,25.32029887935795
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,31.008167681445855
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,34.510803992439094
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,35.99531018405355
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,37.57989760775848
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,41.8500194994337
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,48.555345426092174
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,down,48.55539518541258
AFB1972WRNO,2019-12-17-16-57-37,2,1.0936099705793536,Ambiguity,-8.13,gear24,gear24-weak,None,up,50.123209675202304
