Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,up,2.7855893780067618
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,10.37482588336502
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,down,10.591690232084147
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,14.294563829082563
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,up,14.478044121676248
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,16.929986064449395
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,right,17.263557928631826
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,down,20.999783549581707
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,30.690683955332815
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,right,30.690737134961637
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,left,34.11001807796379
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,36.29504244574059
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,down,36.37846417854439
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,39.28071100230545
AHB1998MRNO,2020-01-22-11-05-40,1,1.249861975769399,Ambiguity,-8.13,gear24-strong,gear24,None,up,39.51423861232888
