Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,down,20.916415307398438
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,unclear,26.00367748016879
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,up,26.637516766355247
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,down,38.68027194382739
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,up,42.80014566864361
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,down,48.037532067160555
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,up,50.99052687328344
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,down,56.77772718974893
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,up,58.29557672996293
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,down,59.34639810643216
ARB1971WRNO,2020-01-28-13-00-32,1,0.8690455067738445,Separation,0.0,gear24,gear24,None,end,60.013608387080694
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,down,17.063337559714455
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,18.09754729954784
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,up,18.114167643959036
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,down,19.148338198802776
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,up,23.768604550994496
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,25.670069540916757
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,down,25.70344551125072
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,up,31.55797963437908
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,down,37.77954991374645
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,up,40.181428678498605
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,40.59843378218807
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,down,40.64846710497886
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,up,45.16865903678945
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,down,47.904133612106534
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,unclear,52.60780334857509
ARB1971WRNO,2020-01-28-13-00-32,2,0.9491490746657392,Ambiguity,-8.13,gear24,gear24-weak,None,end,60.01350078385531
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,15.862444826135288
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,17.313554554368693
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,18.19762171992852
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,19.198369344649564
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,20.049045301268734
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,23.601855626948918
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,28.972664426902384
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,left,28.989338572926044
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,33.426151688826394
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,37.829581370585174
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,40.46502568638266
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,40.63177678737202
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,40.89865548837088
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,41.16555284888864
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,42.29979160427388
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,44.23465806587228
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,45.13527964554373
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,up,47.25362515576808
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,48.65515187759843
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,down,59.3964507107255
ARB1971WRNO,2020-01-28-13-00-32,3,1.4914228807196124,Ambiguity,-8.13,gear24,gear24-medium,None,end,60.01352224230186
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,up,5.905030201986165
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,right,8.373350848401742
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,unclear,8.50677978066983
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,right,9.041002426670502
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,left,16.64641051501212
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,unclear,20.51605791541442
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,down,37.29585755572111
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,unclear,39.013877084151545
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,up,39.03054065644801
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,down,40.06465181182375
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,up,48.17099427557059
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,unclear,55.32661621754755
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,right,55.84368641185847
ARB1971WRNO,2020-01-28-13-00-32,4,1.2115503791590885,Separation,65.04,gear24,gear24,None,end,60.01352628519771
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,down,3.019103926367052
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,right,9.674280061339914
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,down,17.613901901311692
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,unclear,22.38418425404052
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,left,22.517632156819445
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,up,24.185622094362998
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,unclear,24.319060667382473
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,up,24.769387939793205
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,down,27.18805685057805
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,up,29.873420977093247
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,down,35.07745317471495
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,up,37.929731362017264
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,down,43.05038256678472
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,right,47.68730347250539
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,down,53.375078408852914
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,unclear,58.779302675121926
ARB1971WRNO,2020-01-28-13-00-32,5,0.9334993049140516,Separation,8.13,gear24,gear24,None,end,60.01352068734195
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,right,4.853851495731533
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,unclear,8.690162110789743
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,left,9.30732227508065
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,down,13.427183871209536
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,up,17.43035785536199
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,right,23.952083910612373
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,left,25.369919362889505
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,right,25.469932828842275
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,unclear,25.470026748420423
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,right,26.47075042675897
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,down,29.990132224460467
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,unclear,38.17993280707287
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,up,38.2299823014464
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,right,40.66515369068179
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,left,41.96623249076288
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,up,45.16867209845282
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,left,48.07089715277516
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,down,50.78972339440293
ARB1971WRNO,2020-01-28-13-00-32,6,1.308774359755414,Occlusion,-8.13,gear24,gear24,65.04,end,60.01359097152954
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,up,10.825183632989592
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,right,18.114195322245223
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,unclear,29.53972596008657
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,up,29.5397806946753
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,right,46.286195967864614
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,down,49.45536751943769
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,up,51.40686023429521
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,right,52.941419062626665
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,up,59.396422410455216
ARB1971WRNO,2020-01-28-13-00-32,7,0.7208605144002941,Ambiguity,-8.13,gear24,gear24-strong,None,end,60.01352566321384
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,down,2.7688676502100407
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,7.806122623515876
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,down,10.541589424033646
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,13.760798030301203
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,down,16.5129140974841
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,19.898929783297717
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,down,25.069627061526944
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,unclear,28.722423796857584
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,28.739106339664886
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,down,31.541353692112352
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,36.26169135476516
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,unclear,43.53405097842756
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,43.63411420309717
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,unclear,43.75084068907108
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,down,44.10114329981775
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,up,50.539503289828644
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,right,58.59582766939184
ARB1971WRNO,2020-01-28-13-00-32,8,0.8707344728037899,Occlusion,-8.13,gear24,gear24,16.26,end,60.01349518599977
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,up,1.8682099954689875
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,right,3.2859782734783494
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,up,9.824413616846186
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,down,12.126201789634479
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,up,16.346405881231476
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,right,28.789229539137978
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,down,31.274520395942545
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,up,34.82720881276646
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,right,38.9304780537625
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,unclear,39.03057082267014
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,right,39.1806947374248
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,up,44.88511334258237
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,right,49.77232743599234
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,up,54.3593518553937
ARB1971WRNO,2020-01-28-13-00-32,9,1.1239411439634774,Ambiguity,-8.13,gear24,gear24-medium-strong,None,right,55.76025099540766
