Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,right,1.7848047175189095
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,4.170086075873769
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,5.988254718902908
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,6.10499036050976
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,7.856405339397497
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,8.173350347186442
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,9.64118113378072
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,10.108282621953776
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,10.892206894342507
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,10.992262283702416
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,11.35928319139748
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,11.55942475926156
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,12.009830756116116
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,12.259992243623628
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,12.777038078085639
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,12.96053889088796
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,13.544314131377632
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,13.711157084037836
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,14.328335747223036
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,14.428380251531735
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,14.962178801580762
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,15.078949586352564
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,15.579350311732355
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,15.729430907760388
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,16.246550138566704
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,16.49673215217058
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,17.047187318355668
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,17.29737772899898
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,17.881192155672466
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,18.064670887371108
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,18.631848913003296
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,18.882018797550245
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,19.599262491140394
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,19.76606159259495
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,20.416657984542667
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,20.600073271943756
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,21.33405102103336
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,21.617582343078766
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,22.25145121055766
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,22.451586247391106
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,23.085439564796957
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,23.318901517966992
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,23.919473636250814
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,24.069916237977054
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,24.65373190865637
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,24.903567466634968
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,25.45406772803176
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,25.604135261998522
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,26.17128063247742
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,26.38807788347333
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,26.888499445950856
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,27.02193151188078
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,27.589058222272115
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,27.78924084232881
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,28.356338940585943
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,right,28.55651627361783
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,28.973567986007424
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,29.223747822601013
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,30.257882098724963
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,31.258701587569135
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,31.408831010826248
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,31.725729990399373
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,31.825798752821925
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,32.6264449516533
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,32.72653890519405
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,33.01010288239263
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,33.41045630445058
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,33.727379231135956
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,right,36.42956952111058
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,39.39866437313458
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,42.16755390199535
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,42.300996852976255
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,43.685474583561245
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,44.61953449923635
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,45.0198860552855
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,45.2700960590206
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,45.5036052844124
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,46.33758368660506
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,46.75461176288377
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,46.82127679160942
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,47.65538083839158
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,47.95559801071033
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,48.58950015534526
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,48.83963831774338
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,49.44009723149611
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,49.77373866360813
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,50.140655696815884
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,50.457583599524696
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,51.241562919171656
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,51.50850324638873
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,51.8253941399239
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,52.17567539409333
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,52.87643476635549
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,up,53.39333287512454
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,53.877071697343354
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,right,53.87712954361473
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,left,55.59515478387107
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,57.196900310659316
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,down,57.213094467626206
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,unclear,59.96530125622826
BDH1998WRNO,2019-11-12-09-02-33,1,1.2962385574063804,Ambiguity,-8.13,gear24-strong,gear24,None,end,60.015310290820594
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,up,3.1193144657041785
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,9.741360923724073
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,down,10.041564722980183
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,10.658676209850114
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,down,16.53012033579455
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,18.515106118362837
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,up,18.731918608430192
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,19.732716327172284
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,down,19.84949426497758
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,20.483326434284322
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,up,20.650143262822098
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,23.552463924608332
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,up,24.286423635613346
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,38.1309676903694
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,down,38.31447876621996
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,unclear,43.21849718497026
BDH1998WRNO,2019-11-12-09-02-33,2,0.8574263981182959,Separation,65.04,gear24,gear24,None,up,43.48534514475409
