Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,right,3.2526108012220902
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,down,7.922969701643979
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,unclear,14.44481117640612
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,up,14.478100369213053
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,left,23.451940109868247
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,unclear,24.719575380159995
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,right,25.420139649098246
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,unclear,26.654424771605363
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,down,27.038086287369197
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,up,35.52808438408101
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,unclear,45.30246108833239
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,down,45.302517067393865
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,unclear,53.84250664284855
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,up,53.89261350065681
BLB1994MRNO,2019-11-27-12-59-47,1,0.9104332439614934,Separation,65.04,gear24,gear24,None,end,60.01404856743352
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,up,8.540116150332324
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,unclear,11.3924144639941
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,down,11.475738363819119
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,up,21.78392113421046
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,down,37.346197839954584
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,up,50.22302182436988
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,right,56.44460343188962
BLB1994MRNO,2019-11-27-12-59-47,2,1.370079783880149,Occlusion,-8.13,gear24,gear24,65.04,end,60.01404421350662
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,right,2.968896478543911
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,up,11.508992725209964
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,unclear,25.92038533497862
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,down,25.9370139151506
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,unclear,33.376246467099236
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,up,33.37630182417092
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,down,41.06562705256556
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,unclear,52.39124574559128
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,up,52.44128667250516
BLB1994MRNO,2019-11-27-12-59-47,3,1.1578284053077255,Separation,8.13,gear24,gear24,None,end,60.01393754229525
BLB1994MRNO,2019-11-27-12-59-47,4,1.3301801502456807,Occlusion,-8.13,gear24,gear24,16.26,up,2.1517611012698126
BLB1994MRNO,2019-11-27-12-59-47,4,1.3301801502456807,Occlusion,-8.13,gear24,gear24,16.26,down,6.988890333286918
