Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,down,13.211709859706843
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,15.329164243440118
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,up,15.629444145536581
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,24.536670595662713
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,down,24.703447460821508
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,34.87839653418996
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,up,35.12861687934037
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,47.17178928970179
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,down,47.52209733750908
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,49.90726781343585
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,down,50.44112539302921
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,53.526957370910736
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,up,53.69374760916958
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,unclear,58.931345924781
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,down,58.99806743152499
BOF1999WRNO,2020-01-23-09-05-42,1,1.4008959249979462,Occlusion,-8.13,gear24,gear24,16.26,end,60.015513107193215
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,down,3.6196541032093137
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,unclear,4.904043652286987
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,up,4.9207096451152665
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,unclear,7.78974189916687
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,down,8.006591383369482
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,unclear,9.541167689346025
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,up,11.893106633368689
BOF1999WRNO,2020-01-23-09-05-42,2,1.3746907828670785,Control,-8.13,gear24,gear24,None,unclear,16.330023853878743
