Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,right,5.43758497752799
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,unclear,5.570993632205386
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,down,22.767528539387854
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,unclear,22.88430367874173
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,up,34.57664397696692
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,unclear,34.72734233208814
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,up,53.324351371893385
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,unclear,53.491103560317356
CMG1998WRNO,2019-11-13-12-04-29,1,1.0936883652328473,Control,-8.13,gear24,gear24,None,end,60.01271506389571
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,3.0197200732936835
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,3.185916214800841
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,up,12.85998066897298
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,12.976928717770761
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,19.53178206195139
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,19.681896381216802
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,left,21.266442257575363
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,21.416545070277152
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,22.934375579215498
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,23.067809734926072
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,left,24.40219451939265
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,24.552311326563768
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,25.436311791802154
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,25.56973288600784
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,left,26.403731734107623
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,26.53714225471424
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,27.5045401168569
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,27.654669674544607
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,left,28.65544652308961
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,28.788912399597507
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,29.956455742024104
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,30.10661981940291
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,up,34.74347919924264
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,34.86022572768127
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,up,37.67907043136552
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,37.812500855217536
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,down,39.76398824962155
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,39.882225344543826
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,right,42.81809428913698
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,42.93309244186696
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,up,49.25458832002926
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,49.37138429559309
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,down,54.29182915800561
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,54.40868888615216
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,up,57.16065806348888
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,57.27745745992297
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,down,59.462468699036776
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,unclear,59.59583132745934
CMG1998WRNO,2019-11-13-12-04-29,2,1.2948286952623824,Separation,0.0,gear24,gear24,None,end,60.01281862296912
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,6.021371109693064
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,6.138099911803806
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,up,7.939512171456499
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,8.073726596582446
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,9.857577974073592
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,10.007765064579871
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,right,11.725755981236262
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,11.842558487552424
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,left,12.743207395548438
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,12.893293103898714
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,right,14.094241244749014
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,14.210952631520058
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,left,15.095062564607815
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,15.228438254535149
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,right,16.09571252996375
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,16.245880650189292
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,left,17.146573407522737
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,17.28074740418151
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,right,18.29749660711866
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,18.430937915558047
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,up,20.832785061121626
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,20.932792960222173
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,22.55072342077085
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,22.684170637986085
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,25.386256684691602
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,25.48804996709748
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,up,32.45837236235354
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,32.575085304065624
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,34.36005903800151
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,34.49325248883872
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,up,36.34464459645551
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,36.461391124894135
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,38.44799281990424
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,38.56301149785611
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,up,40.414481041536874
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,40.547940076304144
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,down,41.932258060503386
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,unclear,42.049128673237306
CMG1998WRNO,2019-11-13-12-04-29,3,1.3988306322569009,Occlusion,-8.13,gear24,gear24,32.52,up,43.16654569225352
