Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,left,7.489299880142198
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,14.428165579114534
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,left,18.681532885623824
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,18.89836534412609
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,up,19.73236265339085
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,19.899155273337215
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,up,20.583050171700734
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,21.884061094493518
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,down,25.85389917144505
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,30.223984738816398
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,up,32.776036097898896
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,unclear,34.96114885562895
JKB2000WRNO,2019-11-14-10-33-18,1,0.8572260478279822,Ambiguity,-8.13,gear24,gear24-medium,None,left,41.54966850962751
