Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,down,3.3360603429401863
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,13.66085676575375
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,up,14.044523568428815
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,17.864152190896107
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,down,18.264494533955656
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,21.96747150043791
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,right,22.35105837745317
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,23.78552617829706
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,up,24.33595087277581
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,25.903882707694777
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,down,26.454318908980554
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,30.540893326300704
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,up,30.907869971836305
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,32.39241104305165
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,down,32.709283318737334
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,35.5281975861829
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,up,36.17869107270809
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,36.745824584013405
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,up,37.663190470622226
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,40.68222832739542
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,down,41.06585096881099
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,43.53454187980179
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,up,43.93479652233191
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,49.23893978145776
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,down,49.48910989560528
KGC2000WRNO,2019-12-04-12-36-39,1,0.7506407850682232,Control,-8.13,gear24,gear24,None,unclear,51.54079816189642
