Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,down,5.55441812992251
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,9.040516602779121
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,down,18.28082726852608
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,up,20.315656812248903
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,down,31.974671797573365
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,40.16434378485019
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,down,40.53128706602229
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,44.48431121806368
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,up,44.48436564116946
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,left,52.67397791852454
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,54.87567057041008
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,up,55.42611674658042
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,down,57.777919208743924
MON1991WRNO,2020-01-21-12-58-47,1,1.1341739456348527,Ambiguity,-8.13,gear24-weak,gear24,None,end,60.012921911239914
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,left,3.5027491443132703
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,unclear,7.572619704398562
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,up,7.572673505525927
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,left,11.375526582421799
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,right,14.694758215245542
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,unclear,19.41496654067464
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,down,19.598497113709413
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,up,21.383209570007693
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,left,23.368102959808425
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,right,26.203558275950627
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,down,29.906409673504868
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,up,36.14455554359972
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,left,40.080955458264384
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,unclear,43.60027814871876
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,left,43.70040608966565
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,down,50.40557342361137
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,up,52.94087971374074
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,left,58.128201555816645
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,right,59.963409013585874
MON1991WRNO,2020-01-21-12-58-47,2,1.3650083984911585,Occlusion,-8.13,gear24,gear24,32.52,end,60.013015829971096
MON1991WRNO,2020-01-21-12-58-47,3,1.3915142397433502,Ambiguity,-8.13,gear24-medium-strong,gear24,None,right,9.540760418292848
MON1991WRNO,2020-01-21-12-58-47,3,1.3915142397433502,Ambiguity,-8.13,gear24-medium-strong,gear24,None,left,15.728794114592006
MON1991WRNO,2020-01-21-12-58-47,3,1.3915142397433502,Ambiguity,-8.13,gear24-medium-strong,gear24,None,right,17.697084725269065
MON1991WRNO,2020-01-21-12-58-47,3,1.3915142397433502,Ambiguity,-8.13,gear24-medium-strong,gear24,None,down,26.17028554404135
MON1991WRNO,2020-01-21-12-58-47,3,1.3915142397433502,Ambiguity,-8.13,gear24-medium-strong,gear24,None,left,32.40837854597635
