Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,7.322486594611462
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,unclear,7.505942158881794
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,8.523502735812599
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,up,15.945940255599623
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,16.062680493037135
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,unclear,16.279482991437078
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,16.396227271794316
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,right,18.59797020554828
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,24.435901997140093
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,up,26.25398429730012
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,left,33.242828638052345
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,right,40.03467705468955
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,43.63439753344579
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,unclear,44.570131593924145
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,up,48.3714802497156
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,unclear,49.77241814487212
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,down,51.6739742957389
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,unclear,57.44513291564789
SLN1990WRNO,2019-11-19-12-06-51,1,1.0614208516375863,Occlusion,-8.13,gear24,gear24,16.26,end,60.01378293502279
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,1.4512293274634658
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,5.871342790448011
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,10.691831871765999
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,13.710864693431631
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,13.961071970811417
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,14.895135994486736
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,18.14929289335589
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,20.799819499187947
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,23.71872692814611
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,25.420042245400282
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,29.57330404186223
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,33.46036725881959
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,33.62647496593058
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,36.211865160544335
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,37.29607544461237
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,38.2801279926158
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,39.33095962118466
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,42.09988810442428
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,unclear,44.801952916779896
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,53.40878551316155
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,55.727295429821424
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,down,56.82807608650353
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,up,59.046475849153126
SLN1990WRNO,2019-11-19-12-06-51,2,1.245125837111535,Ambiguity,-8.13,gear24-weak,gear24,None,end,60.0138342490028
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,7.572686097145834
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,8.356654863414633
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,9.340777074033326
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,10.074706934975552
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,11.077076085881572
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,11.725926435034353
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,12.610042052584163
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,13.26049433089372
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,13.94433801544892
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,14.611611016396296
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,15.612438570946097
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,16.279610187908702
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,17.063490320939422
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,17.76413171458978
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,18.414604518491387
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,19.19852943463195
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,20.015818389562128
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,20.816429990004735
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,21.767196558666797
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,22.517779205585043
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,23.218407848488823
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,23.91888628137849
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,24.769553269820108
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,25.553537274786095
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,26.254026592459468
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,26.937942738574293
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,27.63848088227701
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,28.32231337105486
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,29.28975418426637
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,30.19048433555247
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,31.258072000044876
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,32.07530248813714
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,32.875972866411416
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,33.693249070595016
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,34.410423517601316
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,35.54471251420466
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,37.129287905015076
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,38.09671005859752
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,38.86390070838172
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,40.08158456326214
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,40.498578447257614
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,unclear,40.66536847480552
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,41.21594882036936
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,42.05092119478854
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,42.86712602526893
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,43.634493319541775
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,44.435301468077455
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,down,45.15239443470341
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,up,45.836383975359354
SLN1990WRNO,2019-11-19-12-06-51,3,0.8261136429699364,Control,-8.13,gear24,gear24,None,end,60.01393376702458
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,right,17.880764659160036
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,unclear,37.19594631997904
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,up,40.66559394532351
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,down,56.81141708065127
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,unclear,56.96150798414419
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,down,57.128319470265524
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,up,57.311751088011874
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,unclear,57.445209109133316
SLN1990WRNO,2019-11-19-12-06-51,4,1.2652437093433173,Occlusion,-8.13,gear24,gear24,32.52,end,60.01382927310169
SLN1990WRNO,2019-11-19-12-06-51,5,1.317963075077109,Occlusion,-8.13,gear24,gear24,65.04,left,2.835633858270171
