Participant,Session,Block,OnsetDelay,Condition,Distance,DisplayLeft,DisplayRight,Occlusion,Percept,Time
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,left,4.220282638916615
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,up,12.660392298338593
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,left,15.562689983547898
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,up,16.263285864010868
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,unclear,21.284062063624333
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,down,21.434132505652087
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,up,26.63840256763524
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,left,29.307248220288784
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,right,30.7584090364835
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,left,34.1278502585983
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,up,34.87846091167194
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,left,40.966742032897855
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,up,46.55465399435798
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,left,55.89556635079225
SRL1987WRNO,2020-01-23-11-04-17,1,1.3209211850530584,Separation,32.52,gear24,gear24,None,end,60.0156278670529
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,up,6.9056745485022475
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,down,11.876362578956105
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,up,17.631122003103883
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,down,19.73279053060105
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,up,20.56684715168558
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,down,21.767791665759432
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,left,24.219777571133818
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,right,26.55503217319165
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,down,33.51064903076167
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,up,37.54731527239164
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,right,41.38376163537487
SRL1987WRNO,2020-01-23-11-04-17,2,0.8039609417212388,Control,-8.13,gear24,gear24,None,down,42.63481546676849
