Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,down,1.484550480992766
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,up,4.603624526789872
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,down,9.040370861849851
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,up,17.747105071407987
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,down,21.917058643704195
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,up,36.04460063746751
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,down,46.60275095575025
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,up,53.29132770047431
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,down,58.19504953604951
AFB1972WRNO,2019-12-16-12-08-15,1,1.4167314447882482,Distance,2,0.0,0.0,end,60.01309734579331
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,up,0.9341008982326002
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,down,5.737877996739144
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,up,13.360388638041059
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,down,20.265746903239005
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,up,29.255978083909667
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,down,35.76109464764363
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,up,40.58148763332542
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,down,45.151673888374035
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,up,55.392935301319994
AFB1972WRNO,2019-12-16-12-08-15,2,1.469801535033104,Sphere ambiguity,0,0.25,0.0,end,60.01307557649011
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,up,0.7173178228085817
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,unclear,4.53680489448584
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,down,4.703662249882427
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,unclear,4.787033705412341
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,down,4.937156064445844
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,up,15.011596818820635
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,down,16.91303909735757
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,up,22.167142222278926
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,unclear,23.75169186359858
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,down,24.03527715588416
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,up,29.422760179714942
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,unclear,30.65703706721456
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,down,30.673712042498664
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,up,32.2082535514287
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,down,35.060434073686565
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,up,43.900620642835065
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,unclear,44.16748990915062
AFB1972WRNO,2019-12-16-12-08-15,3,1.3217080165920898,Distance,3,0.0,0.0,end,60.01301866531162
AFB1972WRNO,2019-12-16-12-08-15,4,0.9423743773145672,Walker ambiguity,0,0.0,0.25,down,1.634649515772935
AFB1972WRNO,2019-12-16-12-08-15,4,0.9423743773145672,Walker ambiguity,0,0.0,0.25,up,32.308455788255515
AFB1972WRNO,2019-12-16-12-08-15,4,0.9423743773145672,Walker ambiguity,0,0.0,0.25,down,36.0445726483631
AFB1972WRNO,2019-12-16-12-08-15,4,0.9423743773145672,Walker ambiguity,0,0.0,0.25,unclear,36.161339769997994
AFB1972WRNO,2019-12-16-12-08-15,4,0.9423743773145672,Walker ambiguity,0,0.0,0.25,down,42.93325251738656
AFB1972WRNO,2019-12-16-12-08-15,4,0.9423743773145672,Walker ambiguity,0,0.0,0.25,end,60.01315767786218
AFB1972WRNO,2019-12-16-12-08-15,5,1.0278461602188131,Sphere ambiguity,0,-1.0,0.0,up,0.6672552671607264
AFB1972WRNO,2019-12-16-12-08-15,5,1.0278461602188131,Sphere ambiguity,0,-1.0,0.0,down,8.656742559640861
AFB1972WRNO,2019-12-16-12-08-15,5,1.0278461602188131,Sphere ambiguity,0,-1.0,0.0,up,27.988347513961116
AFB1972WRNO,2019-12-16-12-08-15,5,1.0278461602188131,Sphere ambiguity,0,-1.0,0.0,down,35.11057313288575
AFB1972WRNO,2019-12-16-12-08-15,5,1.0278461602188131,Sphere ambiguity,0,-1.0,0.0,up,59.02907134951329
AFB1972WRNO,2019-12-16-12-08-15,5,1.0278461602188131,Sphere ambiguity,0,-1.0,0.0,end,60.013064069858274
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,up,0.800678704676784
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,down,3.5861702104500637
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,up,31.42435555865177
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,down,33.225689208365566
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,up,46.836315054064016
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,down,57.77830825768751
AFB1972WRNO,2019-12-16-12-08-15,6,1.3869295997665034,Distance,4,0.0,0.0,end,60.013137774499455
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,up,1.0008549116369068
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,unclear,1.8515495234544233
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,down,1.8515980379015673
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,up,8.20641280134555
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,unclear,9.624142095083926
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,down,9.657534029308408
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,up,15.462036045612422
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,down,23.00112205208643
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,up,31.174192988605
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,unclear,31.27422324793656
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,up,34.543429915438765
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,down,42.883238787176424
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,up,51.006184348057786
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,down,57.527860509768516
AFB1972WRNO,2019-12-16-12-08-15,7,0.7880044471822959,Walker ambiguity,0,0.0,1.0,end,60.01311569420568
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,up,0.5838172597609628
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,unclear,1.0508745506581363
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,up,2.935682593606998
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,down,10.808422356825758
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,up,18.147412391771468
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,down,19.86541719159186
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,up,39.413836320341034
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,down,43.81726162690711
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,up,52.507310909499665
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,down,58.07828832322548
AFB1972WRNO,2019-12-16-12-08-15,8,1.4296833471835297,Control,0,0.0,0.0,end,60.01304541045556
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,up,1.4178577326279083
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,down,13.54394926881605
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,up,19.33172313053774
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,unclear,19.498470084467954
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,up,19.96551649071398
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,down,25.45314017534247
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,up,33.943027556517336
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,down,36.31144813447963
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,up,39.24706417621701
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,down,40.164445938578865
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,up,47.720545588497316
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,down,50.57257248167252
AFB1972WRNO,2019-12-16-12-08-15,9,1.2843126043945776,Walker ambiguity,0,0.0,-1.0,end,60.013084284211345
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,up,1.384472640183958
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,down,8.906932807801695
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,up,12.509722015327498
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,down,18.614430186933077
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,up,25.036066759611003
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,down,28.955800228702174
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,up,36.42825910571082
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,down,38.346415233287644
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,up,41.26527482034862
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,down,50.739261591454124
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,up,54.85910969147608
AFB1972WRNO,2019-12-16-12-08-15,10,1.2206176261197728,Sphere ambiguity,0,1.0,0.0,end,60.01312502390738
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,up,1.084235385877946
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,unclear,1.3010710186199503
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,down,1.601303297085451
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,up,7.972881045996473
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,unclear,8.006243747156532
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,up,8.456598073665191
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,down,18.94807710189616
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,up,26.52053016339096
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,down,38.27968205621619
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,up,39.930910762338954
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,down,51.53988431792277
AFB1972WRNO,2019-12-16-12-08-15,11,1.1363842913245144,Walker ambiguity,0,0.0,0.25,end,60.01311320628565
AFB1972WRNO,2019-12-16-12-08-15,12,0.8719828207429913,Distance,1,0.0,0.0,up,0.717222970844432
AFB1972WRNO,2019-12-16-12-08-15,12,0.8719828207429913,Distance,1,0.0,0.0,down,3.302552575200025
AFB1972WRNO,2019-12-16-12-08-15,12,0.8719828207429913,Distance,1,0.0,0.0,up,6.32157490335203
