Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
AGS1997WRNO,2020-02-03-12-11-03,1,1.022710860459041,Sphere ambiguity,0,-1.0,0.0,down,4.236670069944921
AGS1997WRNO,2020-02-03-12-11-03,1,1.022710860459041,Sphere ambiguity,0,-1.0,0.0,unclear,12.926728029340211
AGS1997WRNO,2020-02-03-12-11-03,1,1.022710860459041,Sphere ambiguity,0,-1.0,0.0,down,13.377087799293804
AGS1997WRNO,2020-02-03-12-11-03,1,1.022710860459041,Sphere ambiguity,0,-1.0,0.0,end,60.01333000780278
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,8.60671920963523
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,28.388725704993703
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,31.14092619965595
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,32.07494323636547
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,37.91284290257863
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,40.031166586379186
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,44.601316984743335
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,48.20412206148512
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,50.0722429013972
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,52.57421567288975
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,54.34219678453974
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,55.54315637841046
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,unclear,56.643986817713085
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,down,56.66067335152229
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,up,58.39539521826464
AGS1997WRNO,2020-02-03-12-11-03,2,1.1070919319553765,Distance,3,0.0,0.0,end,60.01322395986699
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,5.45490863550549
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,unclear,6.154859219033369
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,6.171491951397456
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,14.678073920697898
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,15.962437572441559
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,17.814653398961127
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,19.498599140980787
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,21.483419047639927
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,22.584251974870767
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,24.50245791747375
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,26.987659565601916
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,28.87248653175675
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,31.057542978180663
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,down,45.151743711061954
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,up,46.95322539664585
AGS1997WRNO,2020-02-03-12-11-03,3,0.7228750987723512,Walker ambiguity,0,0.0,-1.0,end,60.01329610978246
AGS1997WRNO,2020-02-03-12-11-03,4,1.0752299738277191,Sphere ambiguity,0,0.25,0.0,up,0.9841012064275674
AGS1997WRNO,2020-02-03-12-11-03,4,1.0752299738277191,Sphere ambiguity,0,0.25,0.0,end,60.01330668347691
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,1.3511119639174467
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,27.221197956042488
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,27.93838739341936
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,30.473690626762163
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,31.991537001555116
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,33.926425124093385
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,35.91125591543778
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,39.06371055195632
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,40.73165673931544
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,42.9667581705894
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,43.91745832020706
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,46.21925084130862
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,52.12389228888469
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,54.99276106218349
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,57.61147053033619
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,down,58.445396664372765
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,up,59.36282886133449
AGS1997WRNO,2020-02-03-12-11-03,5,1.2383384664304176,Walker ambiguity,0,0.0,0.25,end,60.01328646906086
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,up,1.0842720337909668
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,down,11.543265225264804
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,up,14.611412375016698
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,down,26.337143491564348
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,up,27.471335802809335
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,down,41.84924337441407
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,up,45.16843522072713
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,down,49.321702476763676
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,up,51.03969738086471
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,down,52.474137831839016
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,up,54.50921606318343
AGS1997WRNO,2020-02-03-12-11-03,6,1.2336223702233644,Sphere ambiguity,0,1.0,0.0,end,60.01331508023395
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,up,1.0008356328526133
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,unclear,2.2851641426118476
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,down,2.318514196895194
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,up,6.922134381082742
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,down,7.972916103643456
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,unclear,8.940274797879283
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,up,8.957002071511397
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,down,13.577319985184658
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,up,16.946564902114005
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,down,19.2818433805719
AGS1997WRNO,2020-02-03-12-11-03,7,1.0534101687144493,Walker ambiguity,0,0.0,1.0,up,20.782841195238234
