Participant,Session,Block,OnsetDelay,Condition,Shift,Percept,Time
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,up,2.118331013361285
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,unclear,2.251750863614234
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,up,2.3351451506364356
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,unclear,5.38748819799747
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,down,5.604358624138399
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,unclear,8.723439119082343
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,up,8.940334113291726
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,unclear,9.69083853616604
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,down,9.874286748543625
AHB1998MRNO,2020-01-24-12-10-05,1,0.8579399928741392,Shift,-3,end,60.01276140113873
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,down,1.567891213836731
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,unclear,9.323831088620409
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,up,9.4906498285211
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,unclear,23.201182625959518
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,down,23.38464918664141
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,unclear,33.859343143145395
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,up,34.076161012279044
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,unclear,36.17784544881192
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,down,36.31122735850346
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,unclear,43.06640748909365
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,up,43.21653238195819
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,unclear,47.21977381205613
AHB1998MRNO,2020-01-24-12-10-05,2,0.9035468809720681,Shift,-1,down,47.353226938047385
