Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,down,2.219123623684027
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,10.22545022995098
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,up,10.50897287735404
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,10.875912619873702
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,down,11.17616813477855
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,up,13.64478732178327
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,down,19.165833713786014
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,24.670225298463492
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,up,24.670279411892807
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,26.972067207635064
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,up,27.63926153206944
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,30.825087358978635
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,down,31.108690865528843
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,32.82674310551374
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,up,34.69486556855804
AMM1996WRNO,2019-11-27-13-02-08,1,0.7153302509856396,Walker ambiguity,0,0.0,1.0,unclear,41.18334065212275
