Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,24.903819599510825
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,unclear,34.995164934000286
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,35.395491729353125
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,up,36.112701479224825
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,unclear,36.1794180504985
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,up,36.346820742734735
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,40.082512405659145
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,unclear,40.11585001001413
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,40.14925105769976
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,up,43.06823268028165
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,45.10319182153262
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,up,49.32320302985431
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,51.92529081303246
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,up,53.81012219683112
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,unclear,58.530566934580065
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,down,58.5972468082407
BLB1994MRNO,2019-11-13-18-05-06,1,1.1668740861164764,Distance,2,0.0,0.0,end,60.01497480304579
BLB1994MRNO,2019-11-13-18-05-06,2,0.7979746660763959,Sphere ambiguity,0,0.25,0.0,up,1.8682107861125132
BLB1994MRNO,2019-11-13-18-05-06,2,0.7979746660763959,Sphere ambiguity,0,0.25,0.0,unclear,2.168471898958387
BLB1994MRNO,2019-11-13-18-05-06,2,0.7979746660763959,Sphere ambiguity,0,0.25,0.0,up,2.9691065188644643
BLB1994MRNO,2019-11-13-18-05-06,2,0.7979746660763959,Sphere ambiguity,0,0.25,0.0,end,60.01436431648517
BLB1994MRNO,2019-11-13-18-05-06,3,1.371303851308852,Distance,3,0.0,0.0,up,7.189106531304333
BLB1994MRNO,2019-11-13-18-05-06,3,1.371303851308852,Distance,3,0.0,0.0,down,36.929410897573916
BLB1994MRNO,2019-11-13-18-05-06,3,1.371303851308852,Distance,3,0.0,0.0,up,44.26859978080961
BLB1994MRNO,2019-11-13-18-05-06,3,1.371303851308852,Distance,3,0.0,0.0,down,56.92861536796522
BLB1994MRNO,2019-11-13-18-05-06,3,1.371303851308852,Distance,3,0.0,0.0,end,60.01435374259677
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,down,2.201899692362076
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,up,7.739565438063664
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,down,14.194650358827857
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,up,18.41472718745763
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,down,32.459281821495324
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,unclear,39.11443777391037
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,up,39.131082007347004
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,unclear,46.92135266157197
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,down,47.087453832536994
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,unclear,58.68002947004902
BLB1994MRNO,2019-11-13-18-05-06,4,0.8961243608232841,Sphere ambiguity,0,-1.0,0.0,end,60.014313624019906
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,up,3.0190945765905326
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,down,7.07232042116425
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,up,12.326478136308651
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,down,20.766525432689832
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,up,26.754597464505878
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,unclear,28.239107650892493
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,down,28.289160084939567
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,up,41.916660654063435
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,unclear,44.75225068325972
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,down,44.75230479668903
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,up,49.77294627096285
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,down,53.876199047852424
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,unclear,55.6609009948163
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,up,55.66095541924233
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,down,57.01198456958673
BLB1994MRNO,2019-11-13-18-05-06,5,1.313392342212123,Distance,4,0.0,0.0,end,60.014280658367625
BLB1994MRNO,2019-11-13-18-05-06,6,0.7086235457718063,Sphere ambiguity,0,1.0,0.0,up,1.8014845739407974
