Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,up,2.8856572139059153
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,unclear,6.738674693624262
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,down,7.038928340182338
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,unclear,16.846612251041506
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,up,16.87996789299814
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,unclear,23.118265662115164
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,down,23.351738362144715
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,unclear,36.04504341162692
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,up,36.16181941335367
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,unclear,44.91873513838277
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,down,45.035465424018184
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,unclear,59.48015392950015
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,up,59.69698814926937
BOF1999WRNO,2020-01-22-11-08-49,1,0.9498766730415046,Control,0,0.0,0.0,end,60.01383953589789
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,3.219298534783775
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,4.470285473665399
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,up,4.65374943476877
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,9.240752754316645
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,9.440837158038903
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,18.8149978634724
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,up,18.948277374142435
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,24.018908113144562
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,24.152400965573634
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,30.157116875830752
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,up,30.374570906279587
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,33.97682598465303
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,34.02681637494402
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,35.76147613837725
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,up,35.778142608081225
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,36.412082980614514
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,36.42870808814064
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,42.049792598222666
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,up,42.08311340887167
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,44.00130648502977
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,44.10136719102297
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,48.78842468569405
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,up,48.7884803535876
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,unclear,54.059241212403094
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,down,54.142627051859336
BOF1999WRNO,2020-01-22-11-08-49,2,1.2050798519035513,Walker ambiguity,0,0.0,-1.0,end,60.01384606676788
BOF1999WRNO,2020-01-22-11-08-49,3,1.3423855861826677,Sphere ambiguity,0,1.0,0.0,up,1.6513519834254566
BOF1999WRNO,2020-01-22-11-08-49,3,1.3423855861826677,Sphere ambiguity,0,1.0,0.0,unclear,41.06619721113202
BOF1999WRNO,2020-01-22-11-08-49,3,1.3423855861826677,Sphere ambiguity,0,1.0,0.0,up,41.26629063367477
BOF1999WRNO,2020-01-22-11-08-49,3,1.3423855861826677,Sphere ambiguity,0,1.0,0.0,end,60.01381683334898
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,down,3.3860555969868074
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,unclear,6.02141876623773
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,up,6.0214731901558025
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,unclear,8.306579882804954
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,down,8.406648674637609
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,unclear,12.643326787949945
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,up,12.643992314720663
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,down,24.50260675018285
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,up,26.85452393377318
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,unclear,40.415161197425505
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,down,40.49855045781396
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,unclear,50.35631339220231
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,up,50.45635326160982
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,unclear,56.24426791744213
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,down,56.260911373603676
BOF1999WRNO,2020-01-22-11-08-49,4,1.3327804100576717,Distance,2,0.0,0.0,end,60.0139452737958
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,up,1.768179921119554
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,7.589330486288645
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,down,7.6393756114914595
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,10.17470855214333
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,up,10.291458741383167
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,14.011092838496552
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,down,14.077768669114448
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,26.337417718810457
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,up,26.37076309797112
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,down,32.0252548749836
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,34.260246157826714
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,up,34.27692848821539
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,45.43576578184775
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,down,45.4691012092062
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,unclear,51.44043753098276
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,up,51.457146606839615
BOF1999WRNO,2020-01-22-11-08-49,5,1.0156584209763715,Sphere ambiguity,0,0.25,0.0,end,60.013803149621026
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,up,0.48381805866461036
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,4.820533242440206
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,down,4.820587977352261
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,5.954792694630896
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,up,5.9714619632791255
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,9.140581334524313
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,down,9.22397805876426
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,12.27640166468791
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,up,12.293089592965089
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,down,21.18337688283441
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,22.01737553560929
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,up,22.067418483855363
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,28.138849098957735
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,down,28.222263549845138
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,28.73933835443222
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,up,28.839418342042336
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,unclear,38.2634860914236
BOF1999WRNO,2020-01-22-11-08-49,6,1.3009591699580558,Sphere ambiguity,0,0.25,0.0,down,38.28014074336238
