Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,3.019114613039733
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,unclear,5.888008327170496
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,down,6.922181882868529
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,8.90705358858878
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,unclear,10.525006390922954
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,down,10.55835674598461
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,12.293110429550893
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,unclear,18.097614739614244
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,down,18.09767196247674
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,25.90381583194892
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,down,28.022127521149173
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,32.42556549560908
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,down,46.2196866550687
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,50.4563952457753
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,unclear,53.00838501532269
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,down,53.00844192719137
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,up,57.94562552985576
BSB1998MRNO,2020-02-07-12-23-36,1,1.2747456866300504,Sphere ambiguity,0,0.25,0.0,end,60.0138672143475
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,up,0.5838243407397954
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,unclear,2.9356671968075148
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,down,3.0691560063169163
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,up,5.82125474809817
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,down,7.889596572599373
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,up,9.991204472837524
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,unclear,12.443168056705417
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,down,12.45983639237221
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,up,14.144557701482029
BSB1998MRNO,2020-02-07-12-23-36,2,0.8385133054663654,Control,0,0.0,0.0,down,16.096097711769687
