Participant,Session,Block,OnsetDelay,Condition,Shift,Percept,Time
KGC2000WRNO,2019-12-19-10-10-15,1,0.9203665539961344,Control,0,up,1.167630652832031
KGC2000WRNO,2019-12-19-10-10-15,1,0.9203665539961344,Control,0,down,2.9357120021099945
KGC2000WRNO,2019-12-19-10-10-15,1,0.9203665539961344,Control,0,up,6.972246652742342
KGC2000WRNO,2019-12-19-10-10-15,1,0.9203665539961344,Control,0,end,60.015119727517
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,up,0.8340278926737028
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,down,2.6357105715248963
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,up,3.6362476628596596
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,down,9.040548063298957
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,up,12.676788573234035
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,down,22.05092664582571
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,up,23.45204679381027
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,down,40.68251682181244
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,up,42.483878863045675
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,down,47.788161474472645
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,up,49.22258937112724
KGC2000WRNO,2019-12-19-10-10-15,2,1.1198525331199118,Shift,1,end,60.01443677872089
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,up,0.6505746597385951
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,down,4.887861424837865
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,unclear,6.538590027952523
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,up,6.571942249153153
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,down,33.66019752023658
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,unclear,33.74359999850731
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,down,46.87076717914783
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,unclear,48.13839976015947
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,up,48.221806281387444
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,down,54.32672040275338
KGC2000WRNO,2019-12-19-10-10-15,3,0.760542915158138,Shift,-2,end,60.014466945402546
KGC2000WRNO,2019-12-19-10-10-15,4,0.9073221129753177,Shift,-1,up,0.7339475933208632
KGC2000WRNO,2019-12-19-10-10-15,4,0.9073221129753177,Shift,-1,down,5.1374770328923205
KGC2000WRNO,2019-12-19-10-10-15,4,0.9073221129753177,Shift,-1,unclear,6.538535292529787
KGC2000WRNO,2019-12-19-10-10-15,4,0.9073221129753177,Shift,-1,up,6.538589094962163
KGC2000WRNO,2019-12-19-10-10-15,4,0.9073221129753177,Shift,-1,end,60.014516704877906
KGC2000WRNO,2019-12-19-10-10-15,5,1.0609661428210035,Shift,-3,up,0.7840031373350485
KGC2000WRNO,2019-12-19-10-10-15,5,1.0609661428210035,Shift,-3,end,60.01444144367156
KGC2000WRNO,2019-12-19-10-10-15,6,1.44785527645078,Shift,-4,up,0.4837827650592317
KGC2000WRNO,2019-12-19-10-10-15,6,1.44785527645078,Shift,-4,down,41.81670848535873
KGC2000WRNO,2019-12-19-10-10-15,6,1.44785527645078,Shift,-4,unclear,45.11942989325348
KGC2000WRNO,2019-12-19-10-10-15,6,1.44785527645078,Shift,-4,up,45.15270871922826
KGC2000WRNO,2019-12-19-10-10-15,6,1.44785527645078,Shift,-4,end,60.01458419116602
KGC2000WRNO,2019-12-19-10-10-15,7,0.9679754383001227,Shift,2,up,0.7673306031967968
KGC2000WRNO,2019-12-19-10-10-15,7,0.9679754383001227,Shift,2,end,60.01451421690422
KGC2000WRNO,2019-12-19-10-10-15,8,1.100840118946353,Shift,3,up,0.5338078313950518
KGC2000WRNO,2019-12-19-10-10-15,8,1.100840118946353,Shift,3,end,60.01448529420918
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,up,0.6839579806112397
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,unclear,5.2042697983622475
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,down,5.287605723334764
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,up,10.858758973810382
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,unclear,22.45126681403758
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,down,22.4679776007722
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,up,23.402057803094294
KGC2000WRNO,2019-12-19-10-10-15,9,0.9991226596614906,Shift,4,end,60.01449182514034
KGC2000WRNO,2019-12-19-10-10-15,10,0.9462777257041488,Shift,4,up,0.7506279023768911
KGC2000WRNO,2019-12-19-10-10-15,10,0.9462777257041488,Shift,4,end,60.01440599004536
KGC2000WRNO,2019-12-19-10-10-15,11,1.2905026955915821,Shift,3,end,60.014520125841955
KGC2000WRNO,2019-12-19-10-10-15,12,0.7261277614161302,Shift,2,up,0.900806041297983
KGC2000WRNO,2019-12-19-10-10-15,12,0.7261277614161302,Shift,2,end,60.014447041612584
KGC2000WRNO,2019-12-19-10-10-15,13,0.9197328227380015,Shift,-4,up,1.1509923283329044
KGC2000WRNO,2019-12-19-10-10-15,13,0.9197328227380015,Shift,-4,end,60.01471854174861
KGC2000WRNO,2019-12-19-10-10-15,14,0.9779986693640119,Shift,-3,down,26.30426954956465
KGC2000WRNO,2019-12-19-10-10-15,14,0.9779986693640119,Shift,-3,up,27.004807076295037
KGC2000WRNO,2019-12-19-10-10-15,14,0.9779986693640119,Shift,-3,end,60.01437986632118
KGC2000WRNO,2019-12-19-10-10-15,15,0.7199826533750272,Shift,-1,up,0.8174334187124259
KGC2000WRNO,2019-12-19-10-10-15,15,0.7199826533750272,Shift,-1,end,60.01451048494346
KGC2000WRNO,2019-12-19-10-10-15,16,0.8089434881640939,Shift,-2,up,0.9675014647946227
KGC2000WRNO,2019-12-19-10-10-15,16,0.8089434881640939,Shift,-2,end,60.01447876327802
KGC2000WRNO,2019-12-19-10-10-15,17,1.2231487609679645,Shift,1,up,1.1509596736773346
KGC2000WRNO,2019-12-19-10-10-15,17,1.2231487609679645,Shift,1,end,60.01441563094431
KGC2000WRNO,2019-12-19-10-10-15,18,1.4839986744586269,Control,0,up,0.8007039721742331
KGC2000WRNO,2019-12-19-10-10-15,18,1.4839986744586269,Control,0,end,60.014471299356956
