Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,up,0.7172419412372051
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,down,4.386843317305988
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,up,14.528010095980903
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,down,17.24670156182316
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,up,20.766142327082548
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,down,21.466720488677367
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,up,23.334809706745716
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,down,25.40308228454535
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,unclear,32.00891546264279
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,down,32.20827096687117
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,up,37.22887063653758
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,down,46.58607629145615
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,up,55.49295809689022
MOB1997WRNO,2020-01-08-10-07-38,1,1.207940718709518,Distance,3,0.0,0.0,end,60.01315798885224
MOB1997WRNO,2020-01-08-10-07-38,2,1.2603433712196803,Sphere ambiguity,0,1.0,0.0,up,0.9674763499844516
MOB1997WRNO,2020-01-08-10-07-38,2,1.2603433712196803,Sphere ambiguity,0,1.0,0.0,end,60.013098900743444
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,down,1.7013727411626292
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,up,33.726145897248216
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,down,35.19395174118665
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,up,44.93487370849721
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,down,56.52718908225904
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,up,58.895674657141285
MOB1997WRNO,2020-01-08-10-07-38,3,1.1314551293124795,Distance,2,0.0,0.0,end,60.013172916374515
MOB1997WRNO,2020-01-08-10-07-38,4,0.9806239152630225,Distance,1,0.0,0.0,up,0.8673814047233463
MOB1997WRNO,2020-01-08-10-07-38,4,0.9806239152630225,Distance,1,0.0,0.0,down,1.501227944197126
MOB1997WRNO,2020-01-08-10-07-38,4,0.9806239152630225,Distance,1,0.0,0.0,up,3.4861004553827115
MOB1997WRNO,2020-01-08-10-07-38,4,0.9806239152630225,Distance,1,0.0,0.0,down,5.921303035853725
MOB1997WRNO,2020-01-08-10-07-38,4,0.9806239152630225,Distance,1,0.0,0.0,up,9.307221779752467
MOB1997WRNO,2020-01-08-10-07-38,4,0.9806239152630225,Distance,1,0.0,0.0,down,12.743252526716333
