Participant,Session,Block,OnsetDelay,Condition,Shift,Percept,Time
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,up,5.238081850714252
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,down,8.073573092146034
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,unclear,8.290477142698137
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,down,11.476258242402537
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,up,16.36340150960791
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,down,24.55305816726741
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,up,28.722935236012063
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,down,31.37498526684658
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,up,35.74557002454026
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,down,40.8495548332985
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,up,43.667848947158745
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,down,44.86880200725432
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,up,52.341247822681
MON1991WRNO,2020-01-24-12-33-29,1,0.8331789546730886,Shift,-1,end,60.01390063308236
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,3.770273518855447
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,5.337996110758468
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,11.976047546646214
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,14.227715308516053
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,20.766216342713506
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,25.853452782536806
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,29.306127716770106
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,32.608642040194354
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,39.51400652519328
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,43.68389354561941
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,48.25412924808529
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,56.84409291511815
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,unclear,57.477920173208986
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,down,57.49461349690591
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,up,59.579613918297355
MON1991WRNO,2020-01-24-12-33-29,2,1.220960804964167,Shift,-3,end,60.01316669657376
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,up,3.386009863982281
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,down,5.721185606012341
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,up,7.5225808317554765
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,down,10.291340140076272
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,up,14.22778186038613
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,down,18.797950699992043
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,unclear,28.755712031924986
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,up,30.240154288381746
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,down,37.49581205254367
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,unclear,44.28434908383906
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,up,44.534568254073974
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,down,51.923651321692205
MON1991WRNO,2020-01-24-12-33-29,3,1.2525313716488073,Control,0,end,60.01322889458288
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,down,8.940349621229643
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,up,18.130876118048036
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,unclear,22.834431387354698
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,down,22.90115803363483
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,unclear,32.608662876527205
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,up,32.625808068761216
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,down,39.04700365755389
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,up,43.60053235276109
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,down,48.65441759805594
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,up,56.51052499162665
MON1991WRNO,2020-01-24-12-33-29,4,1.3503819953257237,Shift,3,end,60.01319250874735
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,up,2.668799643729699
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,down,10.674988656637879
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,up,11.192063098636254
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,down,23.201373207647748
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,up,31.90811612492712
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,down,37.72932919136042
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,unclear,50.57256999375227
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,up,56.927515994995474
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,down,60.01319624062785
MON1991WRNO,2020-01-24-12-33-29,5,1.4501470563012604,Shift,4,end,60.013290470611764
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,down,2.6354182831673825
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,up,7.672688885247226
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,down,10.624980524248713
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,up,16.996565425930385
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,unclear,24.435672175440686
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,down,24.502515442988624
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,unclear,29.35619338231845
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,up,29.372822020086005
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,down,29.88989739505405
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,up,31.34105407588231
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,down,35.91126769805487
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,unclear,50.45581531171956
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,up,50.455868802007444
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,down,54.158702885396906
MON1991WRNO,2020-01-24-12-33-29,6,1.1304935443783837,Shift,-4,end,60.013242889134744
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,down,3.8864052878261646
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,up,8.523303572622808
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,down,12.609810429797562
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,unclear,20.182342793754287
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,up,20.182397217012294
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,down,27.604777677880975
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,up,32.125746959217395
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,down,37.31227785592273
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,up,41.03184382577456
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,down,45.71882923443263
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,up,57.26106246017389
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,unclear,58.7121992376392
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,down,58.728855242530244
MON1991WRNO,2020-01-24-12-33-29,7,0.9545856212882371,Shift,-2,end,60.013248797945835
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,up,6.138127161963894
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,down,7.105552198590885
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,up,10.558216870152592
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,down,14.394544674808458
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,up,29.80642175785897
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,down,34.34332337024898
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,up,37.92945066407265
MON1991WRNO,2020-01-24-12-33-29,8,0.8906269036792782,Shift,2,down,46.56953784080224
