Participant,Session,Block,OnsetDelay,Condition,Distance,SphereDisambiguation,WalkerDisambiguation,Percept,Time
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,2.3519706990418854
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,4.803871174806318
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,9.374280429102328
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,14.278184320864966
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,22.351316048911485
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,32.742938331025016
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,36.3625455533861
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,37.263236839044566
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,39.248193880934195
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,43.351428941071845
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,45.98687900759387
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,49.07271996710915
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,up,54.460314518180894
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,down,55.92860021807155
SBB2000WRNO,2019-11-11-12-11-02,1,1.3653031076509712,Walker ambiguity,0,0.0,-1.0,end,60.014711745574004
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,2.1851723766876603
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,3.419554850350778
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,12.043113609320699
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,18.198145956190274
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,22.31795750403171
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,27.2719214494482
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,27.755619883699183
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,33.71052739609695
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,36.11228571481843
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,40.7660498131213
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,44.96939005267677
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,48.13861975494592
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,50.390424008026
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,down,55.76137987185621
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,up,57.17916949933715
SBB2000WRNO,2019-11-11-12-11-02,2,1.2934688063095732,Distance,4,0.0,0.0,end,60.01486568942937
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,0.9341213600055198
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,2.8356386555196877
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,8.623648326303737
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,11.042248413756624
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,13.143839540121462
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,15.312225194669281
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,17.830958140333678
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,20.950076474331127
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,24.60303384463441
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,28.93979706778964
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,31.441855250480785
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,36.79612982038634
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,39.51501434632337
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,43.384695119637854
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,48.5555121541006
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,54.77718726228113
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,up,57.629440969218194
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,down,59.997999662878556
SBB2000WRNO,2019-11-11-12-11-02,3,1.214668916108753,Walker ambiguity,0,0.0,0.25,end,60.01465887596714
SBB2000WRNO,2019-11-11-12-11-02,4,1.2646646596051214,Sphere ambiguity,0,-1.0,0.0,up,1.5012738465252369
SBB2000WRNO,2019-11-11-12-11-02,4,1.2646646596051214,Sphere ambiguity,0,-1.0,0.0,down,23.535542681633615
SBB2000WRNO,2019-11-11-12-11-02,4,1.2646646596051214,Sphere ambiguity,0,-1.0,0.0,up,23.969216204970053
SBB2000WRNO,2019-11-11-12-11-02,4,1.2646646596051214,Sphere ambiguity,0,-1.0,0.0,end,60.01475932821995
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,up,1.201005890918168
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,down,9.691634597621942
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,up,11.55932218676162
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,down,16.99702313014177
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,up,24.819994227882944
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,down,29.27347550488912
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,up,34.84455869117255
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,down,39.89864834185346
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,unclear,41.80015070947911
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,up,41.8002054450717
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,down,42.434115762046986
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,up,50.02337645212583
SBB2000WRNO,2019-11-11-12-11-02,5,0.8496498837274606,Distance,2,0.0,0.0,end,60.01472138650206
SBB2000WRNO,2019-11-11-12-11-02,6,0.9756903214090846,Sphere ambiguity,0,0.25,0.0,up,3.085854021418072
SBB2000WRNO,2019-11-11-12-11-02,6,0.9756903214090846,Sphere ambiguity,0,0.25,0.0,down,51.60796564595148
SBB2000WRNO,2019-11-11-12-11-02,6,0.9756903214090846,Sphere ambiguity,0,0.25,0.0,unclear,55.411006145936426
SBB2000WRNO,2019-11-11-12-11-02,6,0.9756903214090846,Sphere ambiguity,0,0.25,0.0,up,55.44439672357748
SBB2000WRNO,2019-11-11-12-11-02,6,0.9756903214090846,Sphere ambiguity,0,0.25,0.0,end,60.01462995318252
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,up,0.9508601885017924
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,down,31.575311821830383
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,up,34.14402862671477
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,down,46.73742092106295
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,up,54.877873385377825
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,down,59.06395263131981
SBB2000WRNO,2019-11-11-12-11-02,7,0.9418411723536926,Control,0,0.0,0.0,end,60.01473164942627
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,up,0.7839950016459625
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,down,35.02807624916932
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,unclear,42.08375043306478
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,up,42.10040062722055
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,down,48.85579876956945
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,unclear,51.42448323069402
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,up,51.54123891526524
SBB2000WRNO,2019-11-11-12-11-02,8,1.0416800723866348,Sphere ambiguity,0,0.25,0.0,end,60.01470956859066
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,up,0.8507024504751826
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,down,2.051694035500077
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,up,4.536974203986574
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,down,6.88888394748119
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,up,11.35915381261384
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,down,13.244018114993196
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,unclear,19.665769542006274
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,up,19.665822100615515
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,down,21.500570991753193
SBB2000WRNO,2019-11-11-12-11-02,9,1.3189967426864968,Distance,1,0.0,0.0,unclear,24.002578170823654
