Participant,Session,Block,OnsetDelay,Condition,Shift,Percept,Time
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,up,2.0016314786433895
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,down,5.53780266012501
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,up,9.807799313821135
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,down,15.779170999860696
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,up,19.76565734345769
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,down,20.99996579057364
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,up,29.90702624298399
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,down,31.175356275625973
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,up,32.94270947364754
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,down,40.7155181421918
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,up,47.00381466203578
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,down,54.77661959864258
SRL1987WRNO,2020-01-28-12-45-20,1,0.9870487718646601,Shift,-4,end,60.014098015604475
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,1.8181585501174027
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,down,2.3685869765335497
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,5.204141019963345
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,down,8.840342430138094
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,13.310568722383664
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,down,19.749677498407664
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,28.4892874736276
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,down,34.44392328629431
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,38.814056839894874
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,down,40.88232859211416
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,43.000704403188536
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,down,49.83937461436642
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,up,54.34298495282832
SRL1987WRNO,2020-01-28-12-45-20,2,1.1593490702362417,Shift,3,end,60.01408433183394
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,0.6673058646152299
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,1.1009230947215087
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,2.2017790145694676
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,6.655348115122763
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,10.041262788105541
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,16.379590283030097
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,19.148476685342928
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,23.018197548863498
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,28.87286315483061
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,34.84418414872016
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,39.84815741809638
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,46.103082020520674
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,50.68997769545399
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,down,54.65986407039924
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,up,57.962398242506254
SRL1987WRNO,2020-01-28-12-45-20,3,1.2171929842480265,Shift,-2,end,60.014030218741254
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,2.3018673992874596
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,up,4.486959988654917
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,6.938845985430532
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,up,8.506717487361186
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,12.526648210162818
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,up,20.582912142729185
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,29.43992575932492
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,up,33.60992546076983
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,37.863203034811534
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,up,42.46688154333032
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,49.70590560437478
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,up,52.94189342333112
SRL1987WRNO,2020-01-28-12-45-20,4,0.9559543589821533,Shift,2,down,55.91085334481107
