Participant,Session,Block,OnsetDelay,Condition,Shift,Percept,Time
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,up,1.8852977151036612
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,2.2851721361521413
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,down,2.4352778582042447
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,7.505916796325437
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,up,7.522596592077207
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,16.429562118820286
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,down,16.479613012816117
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,up,27.98861237123765
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,42.16707038734512
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,down,42.28378168668314
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,48.62212273212299
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,up,48.87227892833107
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,54.20977251798922
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,down,54.52669858905665
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,unclear,59.597331929304346
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,up,59.94760701811629
WHW1998MRNO,2020-02-06-11-59-30,1,0.7395343127276602,Shift,-3,end,60.01426524650651
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,down,1.5679524255428987
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,5.47152781816385
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,up,5.671687233148987
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,12.576541739763343
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,down,12.860113195213671
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,16.71316094165013
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,up,16.963325223674474
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,25.469984360164744
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,down,25.80357747627386
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,28.33889274692956
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,up,28.772583919115277
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,35.544543675383466
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,down,35.878150786174956
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,41.83277162823833
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,up,42.13304122802401
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,48.87162086725402
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,down,49.18851428406197
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,54.60943701879751
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,up,54.876417311485056
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,unclear,57.44503992682985
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,down,57.6618539471383
WHW1998MRNO,2020-02-06-11-59-30,2,0.7923762915699241,Shift,-1,end,60.013665652103555
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,down,2.401955585853102
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,5.821290390597824
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,up,6.171594401753282
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,7.989713908257727
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,down,8.239862018648637
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,10.725123907364832
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,down,10.74183418042594
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,10.775182576184307
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,up,10.858527753166527
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,15.111888731698855
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,down,15.345440081455308
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,19.94897880800727
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,up,20.115821859507378
WHW1998MRNO,2020-02-06-11-59-30,3,0.9718992079173744,Shift,2,unclear,29.056171857190748
