Participant,Session,Block,OnsetDelay,Condition,SphereBias,Shift,Percept,Time
GNF1998WRNO,2020-03-12-11-35-40,1,1.437894565059669,Sphere,-1,4,right,3.3027610188682957
GNF1998WRNO,2020-03-12-11-35-40,1,1.437894565059669,Sphere,-1,4,end,60.01615085786352
GNF1998WRNO,2020-03-12-11-35-40,2,1.0327613812239742,Sphere,1,2,left,9.89154408620334
GNF1998WRNO,2020-03-12-11-35-40,2,1.0327613812239742,Sphere,1,2,end,60.016236073535765
GNF1998WRNO,2020-03-12-11-35-40,3,0.9444875922423801,Walker,-1,0,down,1.4511958340108322
GNF1998WRNO,2020-03-12-11-35-40,3,0.9444875922423801,Walker,-1,0,end,60.016159877040536
GNF1998WRNO,2020-03-12-11-35-40,4,1.295361903812275,Walker,1,2,down,1.5513142962349775
GNF1998WRNO,2020-03-12-11-35-40,4,1.295361903812275,Walker,1,2,end,60.01616143207093
GNF1998WRNO,2020-03-12-11-35-40,5,1.4380503338141948,Walker,-1,-4,down,1.5012905198186672
GNF1998WRNO,2020-03-12-11-35-40,5,1.4380503338141948,Walker,-1,-4,end,60.016143082711096
GNF1998WRNO,2020-03-12-11-35-40,6,1.2554376791158264,Sphere,1,-2,left,2.485477725587316
GNF1998WRNO,2020-03-12-11-35-40,6,1.2554376791158264,Sphere,1,-2,end,60.016245403718585
GNF1998WRNO,2020-03-12-11-35-40,7,0.7304855055738607,Sphere,-1,0,right,1.0508737560921873
GNF1998WRNO,2020-03-12-11-35-40,7,0.7304855055738607,Sphere,-1,0,end,60.016217724175476
GNF1998WRNO,2020-03-12-11-35-40,8,1.2228076545720228,Sphere,1,-4,end,60.01613157548536
GNF1998WRNO,2020-03-12-11-35-40,9,1.3512092883326698,Walker,-1,4,down,1.8849292974277887
GNF1998WRNO,2020-03-12-11-35-40,9,1.3512092883326698,Walker,-1,4,end,60.01613219749788
GNF1998WRNO,2020-03-12-11-35-40,10,1.3687051721861225,Walker,1,-2,down,3.719781014383898
GNF1998WRNO,2020-03-12-11-35-40,10,1.3687051721861225,Walker,1,-2,end,60.016245403718585
GNF1998WRNO,2020-03-12-11-35-40,11,1.4969639818447387,Walker,-1,-2,down,1.100997365467265
GNF1998WRNO,2020-03-12-11-35-40,11,1.4969639818447387,Walker,-1,-2,end,60.01626375307842
GNF1998WRNO,2020-03-12-11-35-40,12,1.2536364345107502,Walker,1,4,down,1.3678542849334008
GNF1998WRNO,2020-03-12-11-35-40,12,1.2536364345107502,Walker,1,4,end,60.016204350913085
GNF1998WRNO,2020-03-12-11-35-40,13,0.9546063040432784,Sphere,-1,-4,right,5.871581848564347
GNF1998WRNO,2020-03-12-11-35-40,13,0.9546063040432784,Sphere,-1,-4,end,60.016149924845195
GNF1998WRNO,2020-03-12-11-35-40,14,0.9474370973620213,Sphere,1,0,end,60.01612659938792
GNF1998WRNO,2020-03-12-11-35-40,15,0.9873225176171543,Sphere,-1,-2,right,1.0509123208485107
GNF1998WRNO,2020-03-12-11-35-40,15,0.9873225176171543,Sphere,-1,-2,end,60.016167030180895
GNF1998WRNO,2020-03-12-11-35-40,16,1.123576662569113,Walker,1,-4,down,0.917497234378061
GNF1998WRNO,2020-03-12-11-35-40,16,1.123576662569113,Walker,1,-4,end,60.01615210188811
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,down,1.8015053317330967
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,unclear,16.863948514805998
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,up,17.0807947201115
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,down,37.69774281101627
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,unclear,45.35409848505833
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,up,45.354852985860816
GNF1998WRNO,2020-03-12-11-35-40,17,1.3864009408493185,Walker,-1,2,end,60.016205594937674
GNF1998WRNO,2020-03-12-11-35-40,18,0.8068957433419616,Walker,1,0,down,1.651391394647817
GNF1998WRNO,2020-03-12-11-35-40,18,0.8068957433419616,Walker,1,0,up,49.72439665593811
GNF1998WRNO,2020-03-12-11-35-40,18,0.8068957433419616,Walker,1,0,end,60.01614214969277
GNF1998WRNO,2020-03-12-11-35-40,19,1.1402058078242745,Sphere,-1,2,right,1.4179237792468484
GNF1998WRNO,2020-03-12-11-35-40,19,1.1402058078242745,Sphere,-1,2,end,60.016162054083
GNF1998WRNO,2020-03-12-11-35-40,20,1.4952766177044317,Sphere,1,4,left,2.7696583069264307
GNF1998WRNO,2020-03-12-11-35-40,20,1.4952766177044317,Sphere,1,4,end,60.016144015729424
