Participant,Session,Block,OnsetDelay,Condition,SphereBias,Shift,Percept,Time
KEB1999WRNO,2020-03-12-16-24-44,1,0.7834525009819547,Walker,-1,-2,down,1.4845694197290413
KEB1999WRNO,2020-03-12-16-24-44,1,0.7834525009819547,Walker,-1,-2,unclear,2.1517954606099465
KEB1999WRNO,2020-03-12-16-24-44,1,0.7834525009819547,Walker,-1,-2,down,3.7863627966803506
KEB1999WRNO,2020-03-12-16-24-44,1,0.7834525009819547,Walker,-1,-2,end,60.01389520379121
KEB1999WRNO,2020-03-12-16-24-44,2,0.7454079146676365,Walker,1,-4,down,1.43452522750772
KEB1999WRNO,2020-03-12-16-24-44,2,0.7454079146676365,Walker,1,-4,end,60.013853841613354
KEB1999WRNO,2020-03-12-16-24-44,3,1.4614196763206668,Walker,-1,0,down,1.3511832381796012
KEB1999WRNO,2020-03-12-16-24-44,3,1.4614196763206668,Walker,-1,0,end,60.01381683334898
KEB1999WRNO,2020-03-12-16-24-44,4,0.9421756587228298,Sphere,1,-4,left,3.919803713141846
KEB1999WRNO,2020-03-12-16-24-44,4,0.9421756587228298,Sphere,1,-4,right,51.44044343986525
KEB1999WRNO,2020-03-12-16-24-44,4,0.9421756587228298,Sphere,1,-4,end,60.013741883838975
KEB1999WRNO,2020-03-12-16-24-44,5,0.846669251426867,Walker,-1,2,down,1.7847928998867246
KEB1999WRNO,2020-03-12-16-24-44,5,0.846669251426867,Walker,-1,2,end,60.01379195384334
KEB1999WRNO,2020-03-12-16-24-44,6,0.9848329959630869,Sphere,1,0,left,2.0016868304692252
KEB1999WRNO,2020-03-12-16-24-44,6,0.9848329959630869,Sphere,1,0,end,60.013764586387424
KEB1999WRNO,2020-03-12-16-24-44,7,0.8581342506201101,Sphere,-1,4,right,1.2510450947256686
KEB1999WRNO,2020-03-12-16-24-44,7,0.8581342506201101,Sphere,-1,4,end,60.01378262402909
KEB1999WRNO,2020-03-12-16-24-44,8,1.4871009020088812,Walker,1,4,down,1.7514397458808162
KEB1999WRNO,2020-03-12-16-24-44,8,1.4871009020088812,Walker,1,4,end,60.01373006607378
KEB1999WRNO,2020-03-12-16-24-44,9,1.439140802199638,Sphere,-1,-2,right,1.8681949110216465
KEB1999WRNO,2020-03-12-16-24-44,9,1.439140802199638,Sphere,-1,-2,end,60.01383455999667
KEB1999WRNO,2020-03-12-16-24-44,10,0.9348546542308854,Sphere,1,2,left,1.6847116683015884
KEB1999WRNO,2020-03-12-16-24-44,10,0.9348546542308854,Sphere,1,2,end,60.01382056527473
KEB1999WRNO,2020-03-12-16-24-44,11,1.3195650045528353,Sphere,-1,2,right,1.6680570163625816
KEB1999WRNO,2020-03-12-16-24-44,11,1.3195650045528353,Sphere,-1,2,end,60.013862860434074
KEB1999WRNO,2020-03-12-16-24-44,12,1.3558484194800708,Sphere,1,-2,left,1.5179213297597016
KEB1999WRNO,2020-03-12-16-24-44,12,1.3558484194800708,Sphere,1,-2,end,60.013835803971915
KEB1999WRNO,2020-03-12-16-24-44,13,1.2890288007763198,Walker,-1,4,down,2.151761562283582
KEB1999WRNO,2020-03-12-16-24-44,13,1.2890288007763198,Walker,-1,4,end,60.01374001787599
KEB1999WRNO,2020-03-12-16-24-44,14,1.4030147419686136,Sphere,1,4,left,2.352402644940412
KEB1999WRNO,2020-03-12-16-24-44,14,1.4030147419686136,Sphere,1,4,end,60.01374343880798
KEB1999WRNO,2020-03-12-16-24-44,15,0.8128826559288432,Sphere,-1,0,left,1.7847683313748348
KEB1999WRNO,2020-03-12-16-24-44,15,0.8128826559288432,Sphere,-1,0,unclear,6.6385947060143735
KEB1999WRNO,2020-03-12-16-24-44,15,0.8128826559288432,Sphere,-1,0,right,7.122268774541226
KEB1999WRNO,2020-03-12-16-24-44,15,0.8128826559288432,Sphere,-1,0,end,60.01377795912185
KEB1999WRNO,2020-03-12-16-24-44,16,1.2642509388042535,Walker,1,2,down,1.9515913242676106
KEB1999WRNO,2020-03-12-16-24-44,16,1.2642509388042535,Walker,1,2,end,60.01384388981114
KEB1999WRNO,2020-03-12-16-24-44,17,0.9701586757749916,Sphere,-1,-4,right,1.4845582239513533
KEB1999WRNO,2020-03-12-16-24-44,17,0.9701586757749916,Sphere,-1,-4,end,60.013749347690464
KEB1999WRNO,2020-03-12-16-24-44,18,1.3820325637252935,Walker,1,0,down,2.368604489879999
KEB1999WRNO,2020-03-12-16-24-44,18,1.3820325637252935,Walker,1,0,end,60.013844822792635
KEB1999WRNO,2020-03-12-16-24-44,19,0.9863955236683348,Walker,-1,-4,down,1.7013728511101363
KEB1999WRNO,2020-03-12-16-24-44,19,0.9863955236683348,Walker,-1,-4,end,60.01384917670612
KEB1999WRNO,2020-03-12-16-24-44,20,0.7178844555937514,Walker,1,-2,down,2.135066481148442
KEB1999WRNO,2020-03-12-16-24-44,20,0.7178844555937514,Walker,1,-2,unclear,7.589305295789472
KEB1999WRNO,2020-03-12-16-24-44,20,0.7178844555937514,Walker,1,-2,up,8.656818632759041
KEB1999WRNO,2020-03-12-16-24-44,20,0.7178844555937514,Walker,1,-2,end,60.013827407138706
