Participant,Session,Block,OnsetDelay,Condition,SphereBias,Shift,Percept,Time
SKM2000WLNO,2020-02-24-13-17-41,1,0.987529102881382,Sphere,-1,4,end,60.01418482726376
SKM2000WLNO,2020-02-24-13-17-41,2,1.0505019477300142,Walker,1,-4,down,0.8674389935181352
SKM2000WLNO,2020-02-24-13-17-41,2,1.0505019477300142,Walker,1,-4,end,60.01419664510195
SKM2000WLNO,2020-02-24-13-17-41,3,0.9015611404715552,Walker,-1,4,down,0.6672348559063721
SKM2000WLNO,2020-02-24-13-17-41,3,0.9015611404715552,Walker,-1,4,end,60.01417549739108
SKM2000WLNO,2020-02-24-13-17-41,4,0.9199817840742949,Walker,1,0,down,1.1342951187971266
SKM2000WLNO,2020-02-24-13-17-41,4,0.9199817840742949,Walker,1,0,end,60.014219969783426
SKM2000WLNO,2020-02-24-13-17-41,5,1.071928696927084,Walker,-1,-2,down,1.0008424874931734
SKM2000WLNO,2020-02-24-13-17-41,5,1.071928696927084,Walker,-1,-2,unclear,29.823660121450303
SKM2000WLNO,2020-02-24-13-17-41,5,1.071928696927084,Walker,-1,-2,down,36.91263134128121
SKM2000WLNO,2020-02-24-13-17-41,5,1.071928696927084,Walker,-1,-2,end,60.014157148641516
SKM2000WLNO,2020-02-24-13-17-41,6,1.360023836700218,Sphere,1,-4,end,60.01422121376709
SKM2000WLNO,2020-02-24-13-17-41,7,1.4308641979945456,Sphere,-1,-2,end,60.01427812599013
SKM2000WLNO,2020-02-24-13-17-41,8,1.446053246796008,Sphere,1,0,end,60.0141080113126
SKM2000WLNO,2020-02-24-13-17-41,9,0.774684586909824,Sphere,-1,2,end,60.014153105697005
SKM2000WLNO,2020-02-24-13-17-41,10,1.1410029909406723,Walker,1,2,down,1.0175283425978705
SKM2000WLNO,2020-02-24-13-17-41,10,1.1410029909406723,Walker,1,2,end,60.01421188389395
SKM2000WLNO,2020-02-24-13-17-41,11,0.754197953574782,Walker,-1,2,down,0.850710531995901
SKM2000WLNO,2020-02-24-13-17-41,11,0.754197953574782,Walker,-1,2,unclear,27.87210268582112
SKM2000WLNO,2020-02-24-13-17-41,11,0.754197953574782,Walker,-1,2,down,34.46061300994734
SKM2000WLNO,2020-02-24-13-17-41,11,0.754197953574782,Walker,-1,2,end,60.01414097686302
SKM2000WLNO,2020-02-24-13-17-41,12,1.4984365831813937,Sphere,1,2,end,60.014172387433064
SKM2000WLNO,2020-02-24-13-17-41,13,1.4582915485511907,Sphere,-1,0,end,60.014124805084066
SKM2000WLNO,2020-02-24-13-17-41,14,1.0298210341289027,Sphere,1,-2,end,60.014238629529245
SKM2000WLNO,2020-02-24-13-17-41,15,0.8818513716071732,Sphere,-1,-4,end,60.01420752995364
SKM2000WLNO,2020-02-24-13-17-41,16,1.2138645789497922,Walker,1,-2,down,1.2010133485600818
SKM2000WLNO,2020-02-24-13-17-41,16,1.2138645789497922,Walker,1,-2,end,60.0141391108873
SKM2000WLNO,2020-02-24-13-17-41,17,1.0242009479622078,Walker,-1,0,down,0.5671800584541415
SKM2000WLNO,2020-02-24-13-17-41,17,1.0242009479622078,Walker,-1,0,end,60.014211261903256
SKM2000WLNO,2020-02-24-13-17-41,18,1.3391283085906778,Walker,1,4,down,0.7173098369821673
SKM2000WLNO,2020-02-24-13-17-41,18,1.3391283085906778,Walker,1,4,end,60.01422992164771
SKM2000WLNO,2020-02-24-13-17-41,19,0.824265190533387,Walker,-1,-4,down,0.6672547596344884
SKM2000WLNO,2020-02-24-13-17-41,19,0.824265190533387,Walker,-1,-4,end,60.014156837645714
SKM2000WLNO,2020-02-24-13-17-41,20,0.7468454762613295,Sphere,1,4,end,60.014218725800674
