Participant,Session,Block,OnsetDelay,Condition,SphereBias,Shift,Percept,Time
USB1997WRNO,2020-03-12-12-10-52,1,1.4697763837449098,Walker,-1,-2,down,2.1351545435964
USB1997WRNO,2020-03-12-12-10-52,1,1.4697763837449098,Walker,-1,-2,end,60.01626810716425
USB1997WRNO,2020-03-12-12-10-52,2,0.8646454387520676,Walker,1,4,down,2.201863797366059
USB1997WRNO,2020-03-12-12-10-52,2,0.8646454387520676,Walker,1,4,end,60.01614805880945
USB1997WRNO,2020-03-12-12-10-52,3,0.7538009966413005,Walker,-1,0,down,4.737311806320577
USB1997WRNO,2020-03-12-12-10-52,3,0.7538009966413005,Walker,-1,0,end,60.016210260028856
USB1997WRNO,2020-03-12-12-10-52,4,1.1621787654558091,Walker,1,-4,down,6.321939521130844
USB1997WRNO,2020-03-12-12-10-52,4,1.1621787654558091,Walker,1,-4,end,60.016221145242525
USB1997WRNO,2020-03-12-12-10-52,5,1.4371682832194346,Sphere,-1,4,right,0.9508765862483415
USB1997WRNO,2020-03-12-12-10-52,5,1.4371682832194346,Sphere,-1,4,end,60.01627183923756
USB1997WRNO,2020-03-12-12-10-52,6,1.1689083392340962,Sphere,1,-2,left,1.7014534248146447
USB1997WRNO,2020-03-12-12-10-52,6,1.1689083392340962,Sphere,1,-2,end,60.01614401572897
USB1997WRNO,2020-03-12-12-10-52,7,0.9367440722177958,Sphere,-1,2,right,1.5012920748495162
USB1997WRNO,2020-03-12-12-10-52,7,0.9367440722177958,Sphere,-1,2,end,60.01614557075936
USB1997WRNO,2020-03-12-12-10-52,8,1.0910568379504073,Sphere,1,0,left,2.218581930358596
USB1997WRNO,2020-03-12-12-10-52,8,1.0910568379504073,Sphere,1,0,end,60.01624509271278
USB1997WRNO,2020-03-12-12-10-52,9,0.810528024950768,Walker,-1,2,down,3.0859763927710446
USB1997WRNO,2020-03-12-12-10-52,9,0.810528024950768,Walker,-1,2,end,60.016250690821835
USB1997WRNO,2020-03-12-12-10-52,10,0.8099785657037225,Sphere,1,-4,left,4.820700006313018
USB1997WRNO,2020-03-12-12-10-52,10,0.8099785657037225,Sphere,1,-4,end,60.01622425530422
USB1997WRNO,2020-03-12-12-10-52,11,0.9384666907958105,Sphere,-1,-4,right,1.3845276330475826
USB1997WRNO,2020-03-12-12-10-52,11,0.9384666907958105,Sphere,-1,-4,end,60.016116336186315
USB1997WRNO,2020-03-12-12-10-52,12,1.183274864096639,Walker,1,2,down,3.1360253606817423
USB1997WRNO,2020-03-12-12-10-52,12,1.183274864096639,Walker,1,2,end,60.01617076225466
USB1997WRNO,2020-03-12-12-10-52,13,0.7958126356296268,Sphere,-1,0,right,2.135152055548133
USB1997WRNO,2020-03-12-12-10-52,13,0.7958126356296268,Sphere,-1,0,end,60.016221145242525
USB1997WRNO,2020-03-12-12-10-52,14,0.8353975230165178,Sphere,1,2,left,1.3845267000288004
USB1997WRNO,2020-03-12-12-10-52,14,0.8353975230165178,Sphere,1,2,end,60.0161210012775
USB1997WRNO,2020-03-12-12-10-52,15,1.0037397425868533,Sphere,-1,-2,right,1.7681788509007674
USB1997WRNO,2020-03-12-12-10-52,15,1.0037397425868533,Sphere,-1,-2,end,60.016146814784406
USB1997WRNO,2020-03-12-12-10-52,16,1.0830138753077518,Sphere,1,4,left,3.23607913363594
USB1997WRNO,2020-03-12-12-10-52,16,1.0830138753077518,Sphere,1,4,end,60.016213992102166
USB1997WRNO,2020-03-12-12-10-52,17,0.9797547269841262,Walker,-1,-4,down,4.1701505051823915
USB1997WRNO,2020-03-12-12-10-52,17,0.9797547269841262,Walker,-1,-4,end,60.016127221399984
USB1997WRNO,2020-03-12-12-10-52,18,1.0304905467898888,Walker,1,0,down,6.388673033376108
USB1997WRNO,2020-03-12-12-10-52,18,1.0304905467898888,Walker,1,0,end,60.01619253268109
USB1997WRNO,2020-03-12-12-10-52,19,0.9467584355323324,Walker,-1,4,down,4.203489737265045
USB1997WRNO,2020-03-12-12-10-52,19,0.9467584355323324,Walker,-1,4,end,60.01613033146077
USB1997WRNO,2020-03-12-12-10-52,20,1.2125400482936461,Walker,1,-2,down,1.8849408046535245
USB1997WRNO,2020-03-12-12-10-52,20,1.2125400482936461,Walker,1,-2,end,60.016135618564476
